Dataset,Dataset_Size,Model,labellingType,NumberOfTopic,Computation_Time,Acc_classesReport,F1_ScoreScore,Precision_ScoreScore,Recall_ScoreScore,Accuracy_ScoreScore
cybertweets,14414,BERTopic,ddos,50,49.00229620933533,"[[8.80597015e-01 5.25222552e-01 6.57992565e-01 3.37000000e+02]
 [9.18450561e-01 9.86856517e-01 9.51425554e-01 1.82600000e+03]
 [9.14932963e-01 9.14932963e-01 9.14932963e-01 9.14932963e-01]
 [8.99523788e-01 7.56039534e-01 8.04709060e-01 2.16300000e+03]
 [9.12552898e-01 9.14932963e-01 9.05708071e-01 2.16300000e+03]]",0.9051067284102502,0.9120648973179032,0.9144706426259824,0.9167822468793344
cybertweets,14414,BERTopic,ddos,60,45.940741300582886,"[[8.78172589e-01 5.13353116e-01 6.47940075e-01 3.37000000e+02]
 [9.16581892e-01 9.86856517e-01 9.50421941e-01 1.82600000e+03]
 [9.13083680e-01 9.13083680e-01 9.13083680e-01 9.13083680e-01]
 [8.97377240e-01 7.50104816e-01 7.99181008e-01 2.16300000e+03]
 [9.10597641e-01 9.13083680e-01 9.03294623e-01 2.16300000e+03]]",0.9010895952992896,0.9096488360686876,0.9116967175219602,0.9223300970873788
cybertweets,14414,BERTopic,ddos,70,52.32693028450012,"[[8.71921182e-01 5.25222552e-01 6.55555556e-01 3.37000000e+02]
 [9.18367347e-01 9.85761227e-01 9.50871632e-01 1.82600000e+03]
 [9.14008322e-01 9.14008322e-01 9.14008322e-01 9.14008322e-01]
 [8.95144265e-01 7.55491889e-01 8.03213594e-01 2.16300000e+03]
 [9.11130936e-01 9.14008322e-01 9.04860760e-01 2.16300000e+03]]",0.9035941101772726,0.9090469363152438,0.912621359,0.9209431345353676
cybertweets,14414,BERTopic,ddos,80,48.1681056,"[[8.93805310e-01 5.99406528e-01 7.17584369e-01 3.37000000e+02]
 [9.30304595e-01 9.86856517e-01 9.57746479e-01 1.82600000e+03]
 [9.26490985e-01 9.26490985e-01 9.26490985e-01 9.26490985e-01]
 [9.12054952e-01 7.93131523e-01 8.37665424e-01 2.16300000e+03]
 [9.24617929e-01 9.26490985e-01 9.20328711e-01 2.16300000e+03]]",0.9207614047676947,0.9252672069793112,0.9269533055940824,0.9260286638927416
cybertweets,14414,BERTopic,ddos,90,51.80595445632935,"[[9.01869159e-01 5.72700297e-01 7.00544465e-01 3.37000000e+02]
 [9.26115957e-01 9.88499452e-01 9.56291391e-01 1.82600000e+03]
 [9.23717060e-01 9.23717060e-01 9.23717060e-01 9.23717060e-01]
 [9.13992558e-01 7.80599875e-01 8.28417928e-01 2.16300000e+03]
 [9.22338254e-01 9.23717060e-01 9.16445476e-01 2.16300000e+03]]",0.9152804423861882,0.9213925575003482,0.922792418,0.92417938
cybertweets,14414,BERTopic,ddos,100,48.797658920288086,"[[8.94736842e-01 6.05341246e-01 7.22123894e-01 3.37000000e+02]
 [9.31266150e-01 9.86856517e-01 9.58255783e-01 1.82600000e+03]
 [9.27415626e-01 9.27415626e-01 9.27415626e-01 9.27415626e-01]
 [9.13001496e-01 7.96098882e-01 8.40189838e-01 2.16300000e+03]
 [9.25574806e-01 9.27415626e-01 9.21465933e-01 2.16300000e+03]]",0.9221654037963138,0.925897138,0.9278779472954232,0.916319926
cybertweets,14414,BERTopic,ddos,110,49.09988856315613,"[[8.61660079e-01 6.46884273e-01 7.38983051e-01 3.37000000e+02]
 [9.37696335e-01 9.80832421e-01 9.58779443e-01 1.82600000e+03]
 [9.28802589e-01 9.28802589e-01 9.28802589e-01 9.28802589e-01]
 [8.99678207e-01 8.13858347e-01 8.48881247e-01 2.16300000e+03]
 [9.25849725e-01 9.28802589e-01 9.24534698e-01 2.16300000e+03]]",0.9258283884650378,0.927543189,0.9301895515487748,0.9338881183541378
cybertweets,14414,BERTopic,ddos,120,48.25441051,"[[8.86462882e-01 6.02373887e-01 7.17314488e-01 3.37000000e+02]
 [9.30713547e-01 9.85761227e-01 9.57446809e-01 1.82600000e+03]
 [9.26028664e-01 9.26028664e-01 9.26028664e-01 9.26028664e-01]
 [9.08588215e-01 7.94067557e-01 8.37380648e-01 2.16300000e+03]
 [9.23819199e-01 9.26028664e-01 9.20033682e-01 2.16300000e+03]]",0.9190341032621304,0.9227023371599532,0.9251040221914008,0.9325011558021268
cybertweets,14414,BERTopic,ddos,130,50.26496624946594,"[[8.81355932e-01 6.17210682e-01 7.26003490e-01 3.37000000e+02]
 [9.33056565e-01 9.84665936e-01 9.58166800e-01 1.82600000e+03]
 [9.27415626e-01 9.27415626e-01 9.27415626e-01 9.27415626e-01]
 [9.07206248e-01 8.00938309e-01 8.42085145e-01 2.16300000e+03]
 [9.25001496e-01 9.27415626e-01 9.21995263e-01 2.16300000e+03]]",0.921432778,0.9245142865795812,0.9269533055940824,0.9255663430420712
cybertweets,14414,BERTopic,ddos,140,47.56768727302551,"[[8.87387387e-01 5.84569733e-01 7.04830054e-01 3.37000000e+02]
 [9.27872231e-01 9.86308872e-01 9.56198566e-01 1.82600000e+03]
 [9.23717060e-01 9.23717060e-01 9.23717060e-01 9.23717060e-01]
 [9.07629809e-01 7.85439302e-01 8.30514310e-01 2.16300000e+03]
 [9.21564606e-01 9.23717060e-01 9.17034818e-01 2.16300000e+03]]",0.9178967137495888,0.9228841628751188,0.9246417013407304,0.9357374017568192
